,precision,recall,f1-score,support
0,0.563548609515054,0.22288882828833742,0.31943720687858257,11001.0
1,0.42018779342723006,0.603720666027621,0.4955053396855923,28167.0
2,0.4179709141274238,0.4244971163314109,0.42120873752529836,28436.0
3,0.40710773635401754,0.39013479661219136,0.3984405933055158,16766.0
4,0.3260115606936416,0.04502634520197988,0.07912457912457913,6263.0
accuracy,0.4231460946895722,0.4231460946895722,0.4231460946895722,0.4231460946895722
macro avg,0.42696532282347344,0.3372535504923081,0.3427432913039136,90633.0
weighted avg,0.42796583426790535,0.4231460946895722,0.40409488268602245,90633.0
